discription,name,是否测试,civitai_url,prompt,high_noise_lora,high_noise_lora_id,low_noise_lora,low_noise_lora_id,,,,,,,,,,,,
Anal Reverse Cowgirl POV,Anal Cowgirl POV,已测试,https://civitai.com/models/1400486,"the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. then a man appears at the bottom and quickly inserts his penis into her anal. anal sex. she keeps looking at the camera throughout the whole video",LORA_I2V_Anal_Reverse_Cowgirl_POV_H.safetensors,2301414,LORA_I2V_Anal_Reverse_Cowgirl_POV_L.safetensors,2301389,,,,,,,,,,,,
Enhanced Walking Magic Nude Shy,Nude Walking Magic Shy,已测试,https://civitai.com/models/1363473,"the girl is walking,  and Her clothes magically morphs into nude body with medium breasts, nipple and perfect pussy. A spiral of magic stars descend around her as her clothes change. She looks down at her body,She bend and acts surprised, covers her vagina with her hands, opens her mouth and smiles while bending.",LORA_I2V_Enhanced_Walkin_H.safetensors,2254373,LORA_I2V_Enhanced_Walkin_L.safetensors,2254403,,,,,,,,,,,,
Enhanced Walking Magic Nude,Nude Walking Magic,已测试,https://civitai.com/models/1363473,"the girl is walking, and Her clothes magically morphs into nude body with medium breasts, nipple and perfect pussy. A spiral of magic stars descend around her as her clothes change. She stares at the camera with a seductive stare. She keeps looking at the camera.",LORA_I2V_Enhanced_Walkin_H.safetensors,2254373,LORA_I2V_Enhanced_Walkin_L.safetensors,2254403,,,,,,,,,,,,
Massage Tits,Massage Tits,已测试,https://civitai.com/models/1952945,She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the camera with a seductive stare. She keeps looking at the camera. A woman is standing naked. A man walks in from the right edge of screen. The man stands behind the woman. The man massages her breasts with his hands.,LORA_I2V_Massage_Tits_H.safetensors,2210306,LORA_I2V_Massage_Tits_L.safetensors,2210320,,,,,,,,,,,,
Pussy Licking,Pussy Licking,已测试,https://civitai.com/models/1954774,"cunn1l1ngu5 she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina.  Close-up from the left side on her vulva. A second woman walks into the frame from the right side, leaning in. Her tongue flicks and sucks rhythmically on the clitoris. The recipient's hips make small, involuntary circles and twitches of pleasure. Her vagina gets wet and shiny. The scene is intimate, sensual, and focused on the detailed motion. Masterpiece, ultra-detailed, photorealistic skin texture.",LORA_I2V_Pussy_Licking_H.safetensors,2212384,LORA_I2V_Pussy_Licking_L.safetensors,2212394,,,,,,,,,,,,
Pussy Licking Cum,Pussy Cum Licking,已测试,https://civitai.com/models/1954774,"cunn1l1ngu5, Female ejaculation,
She stands on one leg, raising the other above her head, keeping her face and upper body visible.
The camera quickly pulls back to reveal her vagina and anus.
She is naked from the waist down, with no pubic hair and no underwear.
Then a man walks into the frame from the right, leaning in. His tongue flicks and sucks rhythmically on her clitoris.
A large amount of clear liquid squirts from her vagina upward and to the right.
Her vagina suddenly erupts with a strong jet of clear, dispersed fluid, spraying onto the man's hair and face. He closes his eyes and leans his head back.
The fluid stops, leaving the man's hair completely soaked, pressed against his scalp, with droplets sliding down. He touches his face with his palm, and finally, the woman laughs happily. Her face, clothing, and hairstyle remain consistent throughout.",LORA_I2V_Pussy_Licking_H.safetensors,2212384,LORA_I2V_Pussy_Licking_L.safetensors,2212394,,,,,,,,,,,,
SideView Deepthroat,SideView Deepthroat,已测试,https://civitai.com/models/1845306,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the man with a seductive stare. She keeps looking at the camera. a large long erect penis emerges from the left side of the screen. 

the woman flashes a smile at the camera and them performs a deepthroat blowjob on the man's penis. the woman's eyes are open as she performs oral sex, and she has a playful happy excited expression. she bob's her head forward and backwards repeatedly as she pleasures the man's penis with her mouth. a woman performing a deepthroat blowjob on a man's circumcised penis. she pushes her face down to his pelvis, choking on his penis and it pushes down her throat.",LORA_I2V_SideView_Deepthroat_H.safetensors,2088264,LORA_I2V_SideView_Deepthroat_L.safetensors,2088443,,,,,,,,,,,,
POV Body Cumshot Pullout,POV Body Cumshot,已测试,https://civitai.com/models/2031069,"b0dyshot (pull0ut) (s3lf / p4rtner / sp0ntaneous)
video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the man with a seductive stare. She keeps looking at the camera. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina.
a large long erect penis emerges from the left side of the screen.
The video shows a man ejaculating on a woman's stomach and chest.
He ejaculates on her stomach and breasts.
Her body and breasts covered in cum.
The cum spreads thickly across her stomach and breasts.
A huge, thick load of white cum shoots from the penis. the cum lands with a wet splat, spreading thickly across her stomach and breasts.
The woman is happy.The man is stroking his penis",LORA_I2V_POV_Body_Cumshot_Pullout_H.safetensors,2298673,LORA_I2V_POV_Body_Cumshot_Pullout_L.safetensors,2298928,,,,,,,,,,,,
Bouncy Forward Bends Show Her Breasts,Show Her Breasts,已测试,https://civitai.com/models/1433071,video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. bends forward to show her cleavage,LORA_I2V_Bouncy_Forward_Bends_H.safetensors,2207480,LORA_I2V_Bouncy_Forward_Bends_L.safetensors,2207776,,,,,,,,,,,,
Slop Bounce,Slop Bounce,已测试,https://civitai.com/models/1944129,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. her breasts bounce, shake, jiggle and sway",LORA_I2V_Slop_Bounce_H.safetensors,2209354,LORA_I2V_Slop_Bounce_L.safetensors,2209344,,,,,,,,,,,,
Slop Bounce Kiss,Slop Bounce Kiss,已测试,https://civitai.com/models/1944129,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. her breasts bounce and shake. the camera zooms in on her face and chest. 

her lips fill the entire screen and she kisses the camera with her lips.",LORA_I2V_Slop_Bounce_H.safetensors,2209354,LORA_I2V_Slop_Bounce_L.safetensors,2209344,,,,,,,,,,,,
Slop Twerk Undress,Slop Twerk Undress,已测试,https://civitai.com/models/2008663,"the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. 

twerks causing her ass to jiggle and shake",LORA_I2V_Slop_Twerk_H.safetensors,2273468,LORA_I2V_Slop_Twerk_L.safetensors,2273467,,,,,,,,,,,,
Slop Twerk Naked,Slop Twerk Naked,已测试,https://civitai.com/models/2008663,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. her breasts bounce and shake. the camera zooms in on her face and chest. 

the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. 

twerks causing her ass to jiggle and shake",LORA_I2V_Slop_Twerk_H.safetensors,2273468,LORA_I2V_Slop_Twerk_L.safetensors,2273467,,,,,,,,,,,,
Seductive Turns,Seductive Turns,已测试,https://civitai.com/models/1663409,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. her breasts bounce and shake. the camera zooms in on her face and chest.  

the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. 

doing the turning pose, she is turning a half circle and then walks away",LORA_I2V_Seductive_Turns_H.safetensors,2212521,LORA_I2V_Seductive_Turns_L.safetensors,2212510,,,,,,,,,,,,
Orgasm Face,Orgasm Face,已测试,https://civitai.com/models/1932929,She is orgasming. She is experiencing an orgasm. She closes her eyes and has a screaming orgasm.,LORA_I2V_Orgasm_Face_H.safetensors,2187729,LORA_I2V_Orgasm_Face_L.safetensors,2187757,,,,,,,,,,,,
Orgasm Face Undress,Orgasm Face Undress,已测试,https://civitai.com/models/1932929,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. 

she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina.

She is orgasming. She is experiencing an orgasm. She closes her eyes and has a screaming orgasm.",LORA_I2V_Orgasm_Face_H.safetensors,2187729,LORA_I2V_Orgasm_Face_L.safetensors,2187757,,,,,,,,,,,,
Cheek Fuck Insertion,Cheek Fuck,已测试,https://civitai.com/models/1981666,A penis appears from the left of frame. He inserts his penis into her mouth. A man is moving his penis in and out of a woman's mouth.,LORA_I2V_Cheek_Fuck_Insertion_H.safetensors,2243201,LORA_I2V_Cheek_Fuck_Insertion_L.safetensors,2243217,,,,,,,,,,,,
Cheek Fuck Insertion Undress,Undress Cheek Fuck,已测试,https://civitai.com/models/1981666,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. 
A penis appears from the left of frame. He inserts his penis into her mouth. A man is moving his penis in and out of a woman's mouth.",LORA_I2V_Cheek_Fuck_Insertion_H.safetensors,2243201,LORA_I2V_Cheek_Fuck_Insertion_L.safetensors,2243217,,,,,,,,,,,,
Face Down Ass Up Cut,Face Down Ass Up Cut,已测试,https://civitai.com/models/1929094,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. 

she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina.

Then Immediately cut to a new scene where the exact same person is now completely naked and a man hold female in place with his strong hands. Male thrust his hips sensually forward and backward, so his penis go in and out of female vagina in a slow steady rhytm the whole video.
He does all the job.
Female ass bounce naturally. she looks at the camera. ",LORA_I2V_Face_Down_Ass_Up_H.safetensors,2183383,LORA_I2V_Face_Down_Ass_Up_L.safetensors,2183388,,,,,,,,,,,,
GodPussy Zooms In Rubbing,Zooms In Rubbing,已测试,https://civitai.com/models/1955914,"Woman smiles at camera. She then sits on the floor, exposing her innie vagina. The camera zooms in for a close up of the womans vulva, with her labia and clitoral hood clearly visible. The skin tone is light, with a natural, unfiltered appearance and visible pores. She is moving her fingers slowly across her wet labia. The scene shows pussy play. handheld camera. She inserts two fingers into her pussy. She masturbates by sliding her fingers in and out of her pussy. handheld camera. She starts rubbing her vagina with her fingers. handheld camera.",LORA_I2V_GodPussy_H.safetensors,2213764,LORA_I2V_GodPussy_L.safetensors,2213738,,,,,,,,,,,,
GodPussy Zooms In Undress,Undress Zooms In,已测试,https://civitai.com/models/1955914,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera.

she uses her hands to pull down her pants slightly, leaking out of her anus and vagina.

Exposing her innie vagina. The camera zooms in for a close up of the womans vulva, with her labia and clitoral hood clearly visible. The skin tone is light, with a natural, unfiltered appearance and visible pores. She starts rubbing her vagina with her fingers. handheld camera.",LORA_I2V_GodPussy_H.safetensors,2213764,LORA_I2V_GodPussy_L.safetensors,2213738,,,,,,,,,,,,
GodPussy Zooms In,Pussy Zooms In,已测试,https://civitai.com/models/1955914,"she uses her hands to pull down her pants Quickly, show her vagina. Woman smiles at camera. She then sits on the floor, show her vagina. The camera zooms in for a close up of the womans vulva. Close-up stays for 2 seconds The upward-looking camera angle.",LORA_I2V_GodPussy_H.safetensors,2213764,LORA_I2V_GodPussy_L.safetensors,2213738,,,,,,,,,,,,
Handjob,Handjob,已测试,https://civitai.com/models/2078995,"a man enters from the side, only his lower body is visible, side view of his hips, thighs and legs, with a gigantic erected penis with testicles appears and she starts giving this man a handjob. she is stroking his penis with one hand handj0b (twistJob)",LORA_I2V_Handjob_H.safetensors,2352366,LORA_I2V_Handjob_L.safetensors,2352388,,,,,,,,,,,,
JOI Handjob Trend,Handjob Trend,已测试,https://civitai.com/models/1949505,"She is sticking her tongue out. Her hand is performing a rapid, rhythmic motion, moving up and down at a speed that mimics the pace of a handjob.",LORA_I2V_JOI_Handjob_Trend_H.safetensors,2206435,LORA_I2V_JOI_Handjob_Trend_L.safetensors,2206446,,,,,,,,,,,,
Leg Aside Pose Transition,Leg Aside Sex,已测试,https://civitai.com/models/2118407,scene cuts and she is having sex with her leg aside,LORA_I2V_Leg_Aside_Pose_Transition_H.safetensors,2401448,LORA_I2V_Leg_Aside_Pose_Transition_L.safetensors,2401470,,,,,,,,,,,,
Casting Sex Reverse Cowgirl,Sex Reverse Cowgirl,已测试,https://civitai.com/models/2121111,The screen goes dark and then lights up again to show the woman having sex with a man. reverse_cowgirl_lie_front_vagina.,LORA_I2V_Casting_Sex_Reverse_Cowgirl_H.safetensors,2399433,LORA_I2V_Casting_Sex_Reverse_Cowgirl_L.safetensors,2399440,,,,,,,,,,,,
Casting Sex Doggy,Casting Sex Doggy,已测试,https://civitai.com/models/2131565,The screen goes dark and then lights up again to show the woman having sex with a man. doggy_kneel_diagonally_behind_vagina.,LORA_I2V_Casting_Sex_Doggy_H.safetensors,2411224,LORA_I2V_Casting_Sex_Doggy_L.safetensors,2411232,,,,,,,,,,,,
Naked Men Appear,Naked Men Appear,已测试,https://civitai.com/models/2048121,A woman is standing. A naked man with erect penis walks in from the left edge of the screen. The woman kneels and licks the naked man's penis.,LORA_I2V_Naked_Men_Appear_H.safetensors,2317996,LORA_I2V_Naked_Men_Appear_L.safetensors,2318034,,,,,,,,,,,,
Naked Men Appear,Grabs Penises ,已测试,https://civitai.com/models/2048121,"A woman is standing. Two naked men with an erect penis walks in from the edge of the screen.  Two men stand on either side of the woman. The woman kneels, grabs the penises of the two men, and strokes them left and right.",LORA_I2V_Naked_Men_Appear_H.safetensors,2317996,LORA_I2V_Naked_Men_Appear_L.safetensors,2318034,,,,,,,,,,,,
Naked Men Appear,Seven Men,已测试,https://civitai.com/models/2048121,A woman is standing. Seven naked men with an erect penis walks in from the edge of the screen. The seven men stand around the woman.,LORA_I2V_Naked_Men_Appear_H.safetensors,2317996,LORA_I2V_Naked_Men_Appear_L.safetensors,2318034,,,,,,,,,,,,
Small Breasts,Small Breasts,已测试,https://civitai.com/models/1983079,"girl lifts up her t-shirt, exposing her bare breasts, smiling at camera,",LORA_I2V_Small_Breasts_H.safetensors,2244856,LORA_I2V_Small_Breasts_L.safetensors,2244767,,,,,,,,,,,,
Twerking,Nude Twerking,已测试,https://civitai.com/models/1953874,"the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. A woman is twerking and shaking her ass. She has a curvy body and a huge ass.",LORA_I2V_Twerking_H.safetensors,2363074,LORA_I2V_Twerking_L.safetensors,2363087,,,,,,,,,,,,
Breast Insertion,Breast Insertion,已测试,https://civitai.com/models/1972311,"The woman takes off all her clothes stripping completely naked, A naked man with erect penis walks in from the left side of the screen and lift the woman in suspended congress position, they have sex, man thrust his penis in and out of the woman's vagina, the woman's body bounces as man pounds her, the man is standing straight lifting the woman in his arms, they are facing eachother",LORA_I2V_Breast_Insertion_H.safetensors,-,LORA_I2V_Breast_Insertion_L.safetensors,-,,,,,,,,,,,,
Edible Anuses,Anuses View,已测试,https://civitai.com/models/2143379,"A woman places her crotch over the camera, obscuring the view. The final frame of the video is a close up of the woman's crotch.the woman is wearing a skirt. she turns around places her crotch over the camera, obscuring the view. The final frame of the video is a close up of the woman's crotch. The woman's pussy is visible near the end of the video.",LORA_I2V_Edible_Anuses_H.safetensors,2438671,LORA_I2V_Edible_Anuses_L.safetensors,2433303,,,,,,,,,,,,
Wink,Wink,已测试,https://civitai.com/models/1936550/,A woman winks once.,LORA_I2V_Wink_H.safetensors,2191786,LORA_I2V_Wink_L.safetensors,2191798,,,,,,,,,,,,
Winks Undress,Nude Winks,已测试,https://civitai.com/models/1936550/,"The woman takes off all her clothes stripping completely naked, woman winks once.",LORA_I2V_Wink_H.safetensors,2191786,LORA_I2V_Wink_L.safetensors,2191798,,,,,,,,,,,,
Kiss From The Window,AI Kiss,已测试,https://civitai.com/models/1929992,"First-person perspective. The camera shows a bed room. The next moment, the camera pulls back, revealing that the camera was looking through a small glass window in the door.
A man with walks in from the right edge of the small window in the door. The man stands side the woman. The two kiss.",LORA_I2V_Kiss_From_The_Window_H.safetensors,2184417,LORA_I2V_Kiss_From_The_Window_L.safetensors,2184427,,,,,,,,,,,,
Panties Aside,Panties Aside,已测试,https://civitai.com/models/2085560,"A woman is squatting. The woman pulls her panties aside, exposing her vagina.",LORA_I2V_Panties_Aside_H.safetensors,2359699,LORA_I2V_Panties_Aside_L.safetensors,2359704,,,,,,,,,,,,
Sex Blowjob Sit Front Suck,Front Suck,已测试,-,The scene changes to show a woman having sex with a man. blowjob_sit_front_suck.,LORA_I2V_Casting_Sex_Blowjob_Sit_Front_Suck_H.safetensors,-,LORA_I2V_Casting_Sex_Blowjob_Sit_Front_Suck_L.safetensors,-,,,,,,,,,,,,
Facial Piss,Facial Piss,已测试,-,"A woman and A man face each other. The woman sitting and the man standing. The man's pee shoots out from the tip of his penis. The man pees in the woman's face. The woman catches the man's urine in her mouth, and the urine that has accumulated in her mouth overflows.",LORA_I2V_Facial_Piss_V1_H.safetensors,-,LORA_I2V_Facial_Piss_V1_L.safetensors,-,,,,,,,,,,,,
Lift Up Bra,Lift Up Bra,已测试,-,"A woman is standing. A man with walks in from the right edge of the screen. The man stands behind the woman. The man reaches around from behind, grabs the bottom of her bra, and quickly lifts it up, revealing her large breasts. Her nipples and areola are lightly pigmented.",LORA_I2V_Lift_Up_Bra_H.safetensors,-,LORA_I2V_Lift_Up_Bra_L.safetensors,-,,,,,,,,,,,,
Tear Shirt,Tear Shirt,已测试,-,A woman is standing. A man with walks in from the left edge of the screen. The man stands behind the woman. The man grabs the woman's shirt by the front with both hands and tear it open with all his might. The woman's bra is revealed. ,LORA_I2V_Tear_Shirt_H.safetensors,-,LORA_I2V_Tear_Shirt_L.safetensors,-,,,,,,,,,,,,
Lick Tits,Lick Tits,已测试,-,The woman takes off all her clothes stripping completely naked. then this woman is standing. A man with walks in from the right edge of the screen. The man licks the woman's right nipple.,LORA_I2V_Lick_Tits_H.safetensors,-,LORA_I2V_Lick_Tits_L.safetensors,-,,,,,,,,,,,,
Lick Tits Two Man,Lick Tits Two Man,已测试,-,"The woman takes off all her clothes stripping completely naked. then this woman is standing. Two men with walks in from the edge of the screen. The man on the right licks the woman's right nipple, and the man on the left licks the woman's left nipple.",LORA_I2V_Lick_Tits_H.safetensors,-,LORA_I2V_Lick_Tits_L.safetensors,-,,,,,,,,,,,,
Lick Tits Three Man,Lick Tits Three Man,已测试,-,"A woman is standing. A man with walks in from the left edge of the screen. The man reaches around from behind, grabs the bottom of her bra, and quickly lifts it up, revealing her large breast. Her nipples and areola are lightly pigmented. Two men walks in from the edge of the screen. The man on the right licks the woman's right nipple, and the man on the left licks the woman's left nipple.",LORA_I2V_Lick_Tits_H.safetensors,-,LORA_I2V_Lick_Tits_L.safetensors,-,,,,,,,,,,,,
Lift Up Shirt,Lift Up Shirt,已测试,-,A woman dressed casually is standing. A man with walks in from the right edge of the screen. The man stands behind the woman. The man grabs the hem of the woman's shirt with both hands from behind and lifts up her shirt quickly. The woman's sexy bra is revealed. The woman has large breasts.,LORA_I2V_Lift_Up_Shirt_H.safetensors,-,LORA_I2V_Lift_Up_Shirt_L.safetensors,-,,,,,,,,,,,,
Remove Bra,Remove Bra,已测试,-,"A woman is standing wearing only a bra on her upper body. A man with walks in from the right edge of the screen. The man stands behind the woman. The man unhooks the back of the woman's bra, causing the hook to pop and loosen her bra. The man then removes the woman's bra, revealing her very large breasts.",LORA_I2V_Remove_Bra_H.safetensors,-,LORA_I2V_Remove_Bra_L.safetensors,-,,,,,,,,,,,,
Huge Titfuck,Huge Titfuck,已测试,https://civitai.com/models/1867280,"The woman quickly took off all her clothes, Then Immediately cut to a new scene. Titjob. She kneels between the legs of a naked young man with a massive erect cock. She holds her breasts, squeezing them with her hands, and then places them between the man's penis, bouncing them up and down. She moves her breasts up and down around his erect penis and tit fucks him in a constant rhythmic motion. A lot of white cum drips from the penis and flows profusely down his penis.",LORA_I2V_Huge_Titfuck_H.safetensors,2180271,LORA_I2V_Huge_Titfuck_L.safetensors,2166737,,,,,,,,,,,,
POV Cowgirl Insertion,POV Cowgirl Fuck,已测试,https://civitai.com/models/2048863,"The woman quickly took off all her clothes, Then Immediately cut to a new scene.
This woman having sex with a man. She is straddling a man's penis in cowgirl position, she is squatting above the man and she is bouncing up and down on the penis. She is rocking her body up and down. 
She is staring at the viewer seductively.
Her dress slip down slowly to under her breasts slowly revealing her breasts at the same time.
her breasts are bouncing.
camera is still and stable.",LORA_I2V_POV_Cowgirl_Insertion_H.safetensors,2318876,LORA_I2V_POV_Cowgirl_Insertion_L.safetensors,2318821,,,,,,,,,,,,